Zone,Produit,Origine,Aliments pour animaux,Autres Utilisations,Disponibilité alimentaire (Kcal/personne/jour),Disponibilité alimentaire en quantité (kg/personne/an),Disponibilité de matière grasse en quantité (g/personne/jour),Disponibilité de protéines en quantité (g/personne/jour),Disponibilité intérieure,Exportations - Quantité,Importations - Quantité,Nourriture,Pertes,Production,Semences,Traitement,Variation de stock,Categorie
Maldives,Olives,Vegetale,0.0,0.0,1.0,0.32,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Oléagineux
Maldives,Oranges et mandarines,Vegetale,0.0,0.0,22.0,42.51,0.04,0.38,15000000.0,0.0,15000000.0,15000000.0,0.0,0.0,0.0,0.0,0.0,Fruits
Maldives,Orge,Vegetale,0.0,0.0,0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Céréales
Maldives,Pamplemousse,Vegetale,0.0,0.0,1.0,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fruits
Maldives,Patates douces,Vegetale,0.0,0.0,1.0,0.32,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Racines et tubercules
Maldives,Perciform,Animale,0.0,0.0,0.0,0.3,0.01,0.07,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,Poisson et fruits de mer
Maldives,Piments,Vegetale,0.0,0.0,9.0,1.11,0.38,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Epices
Maldives,Plantes aquatiques,Animale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Poisson et fruits de mer
Maldives,Plantes oleiferes et autres,Vegetale,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Oléagineux
Maldives,Pois,Vegetale,0.0,0.0,0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Légumes
Maldives,Poissons d'eau douce,Animale,0.0,0.0,1.0,0.73,0.05,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Poisson et fruits de mer
Maldives,Poissons marins et autres,Animale,0.0,0.0,27.0,15.34,0.93,4.33,5000000.0,0.0,0.0,5000000.0,0.0,5000000.0,0.0,0.0,0.0,Poisson et fruits de mer
Maldives,Poissons pelagiques,Animale,0.0,16000000.0,376.0,163.34,15.76,54.97,72000000.0,53000000.0,2000000.0,56000000.0,0.0,124000000.0,0.0,0.0,0.0,Poisson et fruits de mer
